genotype,treatment,leaf_sample_weight_g,main_shoot_wtkg,florets,shoot_wt,gh_notes,rep,position,no_fungus,am_hyphae,dse,lse,arb,coil,vesicle_or_spore,dse_and_am,ves_and_arb,olpidium,mold,plasmodiophorids,dot_line,extra_structures,non_am,fine_endo,fine_or_coarse_am,segment_length,slide_spread,tot,rlc_p,scoring_notes,score_date,scorer,soil_wt_tin_number,tin_boat_weight,soil_wet_wt_in_tared_tin,dried_soil_and_tin_weight_g,emh_precise_wt_weight_in_tube,date_initial_wet_weight_initials_g_for_tin_and_falcon_tube,soil_dry_weight_final_g,date_final_weight_intials_for_tin_boat_only,soil_moisture_content,emh_precise_wt_dry_g,date_emh_extraction_initials,shoot_weigher,filter_paper_size_um,date_permount_added,emh_notes,emh_initials,emh_date,coarse_amf_emh,fine_amf_emh,dse_hyphae_emh,spores_emh,microsclerotia_emh,amf_tot_emh,dse_tot_emh,squares_per_field,length_of_amf_per_slide,amf_in_dry_soil,length_of_dse_per_slide,dse_in_dry_soil,emh_extraction_notes,d13c,c,d15n,n,cn_ratio,p,k,np_ratio,leaf_notes
152966,Watered,4.11,0.84,0,844.11,NA,E,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.77,41.79,7.44,2.03,20.5862069,0.302,1.49,6.721854305,NA
152966,Droughted,12.43,1.65,0,1662.43,NA,F,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.03,44.64,7.68,2.5,17.856,0.253,1.37,9.881422925,NA
152966,Droughted,16.32,1.91,0,1926.32,NA,G,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.42053199,44.1082973,7.2449197,2.667084314,16.53802134,0.349,1.94,7.642075398,NA
152966,Droughted,13.94,1.77,0,1783.94,NA,H,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.935,42.755,7.14,2.42,17.66735537,0.292,1.64,8.287671233,NA
152966,Droughted,14.99,1.61,0,1624.99,NA,I,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.49214334,43.45694085,6.431634161,1.916169084,22.67907421,0.191,1.41,10.03229887,NA
152966,Droughted,15.22,1.71,1,1725.22,NA,J,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.65713362,43.07047898,6.186743324,2.193441396,19.63602905,0.213,1.17,10.29784693,NA
155149,Watered,9.57,2.43,0,2439.57,NA,A,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.68,44.07,8.2,2.42,18.2107438,0.321,1.41,7.53894081,NA
155149,Watered,13,3.39,12,3403,NA,B,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.76,38.56,8.1,2.12,18.18867925,0.272,1.6,7.794117647,NA
155149,Watered,11.57,2.25,0,2261.57,NA,C,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.59859819,41.86625187,8.492523078,2.323880238,18.01566672,0.255,1.45,9.113255835,NA
155149,Watered,13.65,1.77,1,1783.65,NA,D,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.7,41.26,9.62,2.18,18.9266055,0.297,1.53,7.34006734,NA
155149,Watered,12.41,NA,10,12.41,Wrong sample for shoot - 1.71 and 10 florettes,E,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.37,42.55,8.89,2.72,15.64338235,0.307,1.51,8.859934853,NA
155149,Droughted,11.16,2.11,0,2121.16,NA,F,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.38,43.05,7.505,2.145,20.06993007,0.254,1.53,8.44488189,chunky
155149,Droughted,10.18,1.61,0,1620.18,NA,G,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,1.32,NA,NA
155149,Droughted,9.1,1.55,0,1559.1,NA,H,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.4708749,44.46706519,8.016646262,2.58290297,17.21592553,0.312,1.62,8.27853516,NA
155149,Droughted,8.94,1.61,0,1618.94,NA,I,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.47411541,44.69373388,6.456370236,2.614045122,17.09753726,0.239,1.51,10.93742729,NA
155149,Droughted,7.32,1.89,0,1897.32,NA,J,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.51762437,43.99635596,6.211142725,2.365834769,18.59654636,0.2,0.99,11.82917385,NA
